GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_048730	124.85	182.09	0.35	172.38	176.11	153.40	160.44	146.92	162.66	0.70	144.77	171.32	169.90	184.64	58.24	59.08	75.15	62.88	0.00	0.00	158.47	194.60	136.00	171.84	146.26	156.12	117.54	136.61	125.70	151.48	32.76	31.92	33.67	30.18	35.47	37.19	28.58	36.57	30.34	23.85	35.31	17.16	33.44	43.55	65.56	58.06	27.81	47.86	32.88	44.73	71.44	48.79	55.14	0.03	53.95	24.36	60.73	64.82	57.46	0.05	0.08	52.11	56.97	17.93	65.49	266.31	0.05	6.12	11.25	6.96	20.06	20.73	0.00	0.00	0.00	0.00	0.00	0.05	31.71	74.16	64.16	0.00	6.64	38.06	21.32	7.57	21.32	8.00	18.54	0.08	0.00	30.55	39.92	20.15	28.38
AFUB_048740	121.17	179.70	160.31	178.82	183.78	163.28	168.06	144.30	173.88	166.96	150.76	177.47	160.62	183.79	59.17	61.80	73.37	58.44	8.66	13.93	159.66	194.45	148.16	165.22	144.39	155.98	116.68	134.55	129.42	158.52	32.33	31.09	30.51	28.85	31.92	35.36	29.54	35.39	30.34	23.53	35.18	15.54	32.26	44.83	70.52	59.53	27.64	50.01	68.73	40.92	72.05	45.74	53.27	57.48	54.63	26.90	54.20	59.59	62.71	59.20	42.80	47.74	61.03	15.40	70.56	266.22	20.17	5.63	11.81	8.64	25.84	32.51	10.34	13.95	11.06	4.01	13.71	20.17	37.51	65.36	64.24	4.24	7.70	32.20	22.16	9.35	22.16	6.14	21.17	0.05	0.14	29.31	39.58	21.71	29.41
AFUB_048750	125.65	186.29	167.48	166.94	181.95	171.83	172.25	157.09	165.53	169.05	154.41	178.97	171.84	196.69	63.29	64.33	80.18	60.54	7.88	13.93	151.68	217.75	166.63	178.06	156.14	161.04	122.14	137.47	126.99	154.97	33.19	33.65	39.00	34.44	33.53	39.03	32.01	37.06	34.05	28.53	39.06	19.37	36.87	43.46	71.97	61.28	30.39	47.32	68.39	40.96	75.50	44.88	58.60	61.86	56.71	25.14	57.23	64.13	49.11	59.23	44.11	51.81	57.46	15.17	76.49	273.39	20.17	6.02	13.77	10.68	25.90	32.28	12.76	15.24	8.74	4.87	17.54	20.17	34.48	73.00	71.21	6.07	8.79	33.78	25.87	11.80	25.87	4.55	18.67	0.15	0.12	31.38	41.37	25.09	29.61
AFUB_048760	115.62	173.20	151.19	163.16	173.32	150.22	155.51	134.13	149.12	156.67	141.10	168.49	157.72	169.64	63.06	65.36	71.40	58.67	9.45	14.62	153.07	190.48	139.86	159.60	141.89	146.02	112.61	124.48	127.51	151.84	29.56	31.88	30.41	28.93	30.02	34.71	26.72	32.32	28.22	23.87	32.97	14.63	33.37	39.34	67.43	55.84	26.38	46.98	61.17	40.87	73.71	46.16	51.15	55.94	56.52	24.96	48.18	61.43	50.06	53.27	42.78	49.71	61.05	16.42	66.60	256.26	22.00	9.05	10.84	9.55	30.63	30.22	10.98	15.90	11.52	3.47	14.69	22.00	31.43	54.38	55.65	6.70	8.44	25.40	22.59	7.98	22.59	6.83	16.67	0.24	0.21	27.91	38.44	18.25	30.90
AFUB_048770	129.85	176.52	162.73	174.69	182.46	159.46	148.85	149.75	155.45	162.88	162.12	185.50	160.64	170.44	56.56	58.52	74.11	78.92	7.34	14.60	160.24	191.93	142.40	165.57	153.17	153.27	116.11	140.13	140.69	146.93	31.14	27.73	32.98	31.69	34.07	36.19	30.56	34.76	30.95	22.74	37.05	17.86	35.40	41.26	66.50	55.58	29.59	44.02	69.97	46.07	69.44	43.31	50.39	59.62	63.41	29.30	48.65	56.13	64.55	52.16	44.55	59.02	57.15	16.30	77.68	271.70	17.33	5.47	9.04	12.36	20.54	28.59	12.66	16.48	8.17	4.57	19.89	17.33	41.33	54.65	58.49	3.48	10.27	24.90	18.81	10.33	18.81	5.56	15.05	0.13	0.00	30.19	39.29	20.38	30.56
AFUB_048780	119.54	169.71	151.40	172.35	162.80	148.09	156.18	138.20	154.66	154.50	136.60	166.11	161.64	163.20	46.88	60.02	79.21	49.13	8.85	10.13	141.49	170.60	104.57	157.13	130.93	142.99	104.06	126.22	122.01	136.01	19.51	23.73	15.90	18.18	24.28	24.95	18.48	23.11	21.34	15.43	24.98	11.66	24.81	41.86	68.97	49.34	22.57	44.84	57.01	42.90	65.60	46.82	51.64	48.57	54.32	20.28	46.26	54.87	55.64	53.12	44.34	49.86	57.22	18.33	59.94	242.92	22.25	7.39	10.16	8.57	22.87	31.79	9.34	14.26	8.30	3.90	13.75	22.25	36.33	64.35	57.74	7.72	6.22	43.32	18.02	12.91	18.02	9.23	17.66	0.32	0.00	14.69	24.56	12.24	20.23
AFUB_048790	115.04	170.64	150.00	159.83	171.01	150.82	157.67	145.28	147.97	152.29	140.03	164.65	161.14	177.20	55.69	61.31	71.58	54.63	8.27	10.96	145.68	184.48	120.13	150.40	130.48	141.52	104.59	121.18	115.00	141.53	27.36	27.24	28.47	26.95	30.88	32.19	26.55	31.14	27.03	21.02	33.94	15.36	30.91	42.39	67.11	52.46	26.38	45.59	64.79	39.21	68.82	43.20	51.61	53.62	50.76	25.27	53.20	59.27	52.79	55.25	41.93	49.80	57.16	17.82	63.13	259.20	20.84	11.01	10.51	9.32	23.20	33.05	14.88	14.68	9.42	3.68	17.25	20.84	35.92	57.77	58.04	6.12	9.65	32.43	23.11	11.46	23.11	6.67	19.16	0.24	0.08	24.32	33.17	16.77	26.73
AFUB_048800	113.16	164.27	50.72	160.14	167.23	147.25	145.00	138.22	150.45	52.86	137.91	57.22	156.85	167.81	18.16	60.13	73.18	49.42	1.86	1.98	136.56	176.25	43.35	50.39	47.15	51.79	34.12	58.83	40.16	49.54	22.24	23.25	19.20	22.04	25.55	26.90	21.69	26.65	20.67	17.02	28.53	15.03	25.93	43.64	63.97	48.82	25.08	43.90	20.61	38.25	71.27	40.69	16.29	17.92	18.46	22.13	40.94	58.99	18.14	18.34	14.43	50.96	59.08	13.03	21.16	255.02	7.68	8.95	11.45	9.72	26.92	32.62	4.39	4.65	4.54	2.20	7.63	7.68	33.70	48.25	57.87	1.94	9.63	27.69	27.03	12.30	27.03	7.68	18.15	0.04	0.06	18.95	25.92	12.49	22.95
AFUB_048810	135.18	197.56	141.26	189.89	191.02	172.51	174.28	160.65	169.65	153.50	162.28	192.66	184.35	196.87	47.87	60.42	70.51	55.87	4.07	7.27	176.56	212.79	149.18	182.44	167.86	176.88	123.99	141.82	142.07	161.83	37.25	36.63	38.08	32.38	34.46	40.61	31.09	37.10	35.90	26.22	39.75	17.42	36.71	45.86	71.26	58.82	30.74	44.45	70.54	45.67	79.07	47.52	55.16	53.80	52.44	29.54	49.06	57.88	57.96	49.79	38.68	45.20	58.00	14.14	68.76	263.26	12.21	5.36	11.59	5.39	22.81	30.68	12.89	13.61	7.53	3.62	12.89	12.21	33.91	67.86	67.44	5.28	8.24	38.30	20.70	7.20	20.70	4.81	16.37	0.00	0.13	35.49	46.60	24.93	34.63
AFUB_048820	125.04	167.66	165.20	170.04	180.34	153.35	167.88	143.35	170.42	161.51	158.37	182.33	164.56	184.49	56.80	61.19	70.14	48.91	7.57	12.48	158.25	190.91	133.75	173.41	146.91	159.29	115.62	135.33	126.94	162.40	29.14	30.57	31.95	31.32	29.94	32.59	25.59	32.41	28.18	23.99	36.27	15.25	33.47	45.23	65.88	57.47	26.79	46.49	69.64	45.64	70.03	45.90	54.51	58.03	54.06	26.24	42.92	60.45	58.70	57.11	48.23	48.90	55.42	12.41	72.46	271.73	20.37	7.21	10.78	9.54	25.79	26.42	13.61	13.98	10.76	4.36	17.66	20.37	36.18	65.79	61.93	5.51	7.75	38.95	19.59	10.09	19.59	5.54	17.76	0.23	0.00	27.03	40.51	17.99	26.58
