Run	Alias	Assay Type	BioProject	BioSample	BioSourceType	Broker_name	Center Name	clinical_history	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Description	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	Experiment	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	itraconazole_resistance	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	overall_azole_resistance	Platform	posaconazole_resistance	ReleaseDate	sample_acc	Sample Name	sample_name	SRA_accession	SRA Study	strain	title	voraconazole_resistance	AssemblyName	pathogenicity	AvgSpotLen	MBases	MBytes
ERR232414	E-SYBR-1:F21732	WGS	PRJEB1497	SAMEA2051974	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206977	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	resistant to itraconazole	F21732	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-resistant	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216940	SAMEA2051974	ERS216940	ERS216940	ERP002270	F21732	F21732	intermediate resistance to voraconazole	ASM265v1	pathogenic			
ERR232421	E-SYBR-1:F21857	WGS	PRJEB1497	SAMEA2051973	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206976	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	resistant to itraconazole	F21857	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-resistant	ILLUMINA	resistant to posaconazole	2016-05-01T00:00:00Z	ERS216939	SAMEA2051973	ERS216939	ERS216939	ERP002270	F21857	F21857	sensitive to voraconazole	ASM265v1	pathogenic			
ERR232425	E-SYBR-1:AF293 VKBR3	WGS	PRJEB1497	SAMEA2052104	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Samples were mutagenised by ultra-violet (UV) light. Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular ...	2016-04-30	2018-11-16	ERX206987	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	AF293 VKBR3	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216950	SAMEA2052104	ERS216950	ERS216950	ERP002270	AF293 VKBR3	AF293 VKBR3	sensitive to voraconazole	ASM265v1	pathogenic			
ERR232429	E-SYBR-1:AP65	WGS	PRJEB1497	SAMEA2051884	fresh sample	ArrayExpress	CNAG	environmental sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206966	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:56Z	public	Illumina HiSeq 2000	sensitive to itraconazole	AP65	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216929	SAMEA2051884	ERS216929	ERS216929	ERP002270	AP65	AP65	sensitive to voraconazole	ASM265v1	environmental			
ERR232430	E-SYBR-1:D17	WGS	PRJEB1497	SAMEA2052175	fresh sample	ArrayExpress	CNAG	environmental sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206989	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	resistant to itraconazole	D17	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-resistant	ILLUMINA	resistant to posaconazole	2016-05-01T00:00:00Z	ERS216952	SAMEA2052175	ERS216952	ERS216952	ERP002270	D17	D17	resistant to voraconazole	ASM265v1	environmental			
ERR232435	E-SYBR-1:F8226	WGS	PRJEB1497	SAMEA2052103	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206986	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2018-03-09T10:08:55Z	public	Illumina HiSeq 2000	unknown resistance to itraconazole	F8226	PAIRED	PCR	GENOMIC	Aspergillus nidulans	unknown azole resistance	ILLUMINA	unknown resistance to posaconazole	2016-05-01T00:00:00Z	ERS216949	SAMEA2052103	ERS216949	ERS216949	ERP002270	F8226	F8226	unknown resistance to voraconazole to voraconazole	ASM1142v1				
ERR232405	E-SYBR-1:CF337	WGS	PRJEB1497	SAMEA2051967	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206970	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	resistant to itraconazole	CF337	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-resistant	ILLUMINA	resistant to posaconazole	2016-05-01T00:00:00Z	ERS216933	SAMEA2051967	ERS216933	ERS216933	ERP002270	CF337	CF337	resistant to voraconazole	ASM265v1	environmental			
ERR232406	E-SYBR-1:AF293 VKBR1	WGS	PRJEB1497	SAMEA2052105	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Samples were mutagenised by ultra-violet (UV) light. Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular ...	2016-04-30	2018-11-16	ERX206988	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	AF293 VKBR1	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216951	SAMEA2052105	ERS216951	ERS216951	ERP002270	AF293 VKBR1	AF293 VKBR1	sensitive to voraconazole		pathogenic			
ERR232407	E-SYBR-1:AF293 VKWH2	WGS	PRJEB1497	SAMEA2051813	fresh sample	ArrayExpress	CNAG	clinical sample	public	bam	ena	ena	Protocols: Samples were mutagenised by ultra-violet (UV) light. Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular ...	2016-04-30	2018-11-16	ERX206959	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:56Z	public	Illumina HiSeq 2000	sensitive to itraconazole	AF293 VKWH2	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216921	SAMEA2051813	ERS216921	ERS216921	ERP002270	AF293 VKWH2	AF293 VKWH2	sensitive to voraconazole	ASM265v1	pathogenic			
ERR232408	E-SYBR-1:SF3S10	WGS	PRJEB1497	SAMEA2051885	fresh sample	ArrayExpress	CNAG	environmental soil sample	public	bam	ena	ena	Protocols: Genomic DNA was extracted using the CTAB genomic DNA extraction method. Libraries were constructed using Illumina TruSeq DNA Sample Prep standard protocol. Briefly\, 5 ug of high molecular weight genomic DNA (gDNA) was fragmented by Covaris s...	2016-04-30	2018-11-16	ERX206967	EMBL European Bioinformatics Institute	EMBL European Bioinformatics Institute	2016-04-30T17:09:58Z	2013-02-22T09:52:57Z	public	Illumina HiSeq 2000	sensitive to itraconazole	SF3S10	PAIRED	PCR	GENOMIC	Aspergillus fumigatus	azole-sensitive	ILLUMINA	sensitive to posaconazole	2016-05-01T00:00:00Z	ERS216930	SAMEA2051885	ERS216930	ERS216930	ERP002270	SF3S10	SF3S10	sensitive to voraconazole	ASM265v1	environmental			
