Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collected_by	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	host_disease	Host	Instrument	Isolate	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Isolation_source
SRR12190174	WGS	300	6015977400	PRJNA638646	SAMN15486856	Pathogen.cl	2549323842	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704025	Japan	Asia	Japan: Tokyo	CPA	Homo sapiens	Illumina NovaSeq 6000	IFM62522	missing	IFM62522	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM62522	SRP266808	sputum
SRR12190175	WGS	300	5724421500	PRJNA638646	SAMN15486855	Pathogen.cl	2432841852	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704024	Japan	Asia	Japan: Aichi	IPA	Homo sapiens	Illumina NovaSeq 6000	IFM62241	missing	IFM62241	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM62241	SRP266808	sputum
SRR12190176	WGS	300	5360426100	PRJNA638646	SAMN15486854	Pathogen.cl	2282657791	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704023	Japan	Asia	Japan: Chiba	CPA	Homo sapiens	Illumina NovaSeq 6000	IFM61409	missing	IFM61409	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM61409	SRP266808	sputum
SRR12190177	WGS	300	5255746800	PRJNA638646	SAMN15486853	Pathogen.cl	2216508411	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704022	Japan	Asia	Japan: Chiba	sinusitis	Homo sapiens	Illumina NovaSeq 6000	IFM59779	missing	IFM59779	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM59779	SRP266808	Sinus
SRR12190178	WGS	300	4571621100	PRJNA638646	SAMN15486852	Pathogen.cl	1871343645	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704021	Japan	Asia	Japan: Chiba	IPA	Homo sapiens	Illumina NovaSeq 6000	IFM55548	missing	IFM55548	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM55548	SRP266808	sputum
SRR12190179	WGS	300	6917016600	PRJNA638646	SAMN15486851	Pathogen.cl	2809682807	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704020	Japan	Asia	Japan: Chiba	CPA	Homo sapiens	Illumina NovaSeq 6000	IFM52659	missing	IFM52659	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM52659	SRP266808	lung
SRR12190180	WGS	300	7728629400	PRJNA638646	SAMN15486850	Pathogen.cl	3139244375	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704019	Japan	Asia	Japan: Chiba	CPA	Homo sapiens	Illumina NovaSeq 6000	IFM50886	missing	IFM50886	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM50886	SRP266808	Pleural effusion
SRR12190181	WGS	300	7405413300	PRJNA638646	SAMN15486849	Pathogen.cl	3050312783	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704018	Japan	Asia	Japan: Chiba	CPA	Homo sapiens	Illumina NovaSeq 6000	IFM48627	missing	IFM48627	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM48627	SRP266808	sputum
SRR12190182	WGS	300	12659082900	PRJNA638646	SAMN15486848	Pathogen.cl	5347080975	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704017	Japan	Asia	Japan: Chiba	CPA	Homo sapiens	Illumina NovaSeq 6000	IFM47448	missing	IFM47448	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM47448	SRP266808	lung
SRR12190183	WGS	300	6694373100	PRJNA638646	SAMN15486847	Pathogen.cl	2744350426	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8704016	Japan	Asia	Japan: Chiba	CPA	Homo sapiens	Illumina NovaSeq 6000	IFM47434	missing	IFM47434	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM47434	SRP266808	sputum
SRR11977809	WGS	300	4708304400	PRJNA638646	SAMN15199836	Pathogen.cl	1963980122	UMASS AMHERST	Chiba University	missing	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8521223	Japan	Asia	Japan: Chiba	CPA	Homo sapiens	Illumina NovaSeq 6000	IFM47072	missing	IFM47072	PAIRED	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	2020-08-31T00:00:00Z	IFM47072	SRP266808	sputum
