AvgSpotLen	BioSample	Experiment	InsertSize	Instrument	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study
100	SAMN00717298	SRX097004	0	Illumina Genome Analyzer II	SINGLE	B5852-PE-ILI20-1	2015-06-28	1214	821	2011-09-14	SRR343134	SRS260913	1131106934649 Aspergillus fumigatus B5852 B5852-PE-ILI20-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717299	SRX097005	0	Illumina Genome Analyzer II	SINGLE	B5854-PE-ILI21-1	2015-06-28	1249	845	2011-09-14	SRR343135	SRS260914	1131106934645 Aspergillus fumigatus B5854 B5854-PE-ILI21-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717300	SRX097006	0	Illumina Genome Analyzer II	SINGLE	B5856-PE-ILI22-1	2015-06-28	1273	856	2011-09-14	SRR343136	SRS260915	1131106934647 Aspergillus fumigatus B5856 B5856-PE-ILI22-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717301	SRX097007	0	Illumina Genome Analyzer II	SINGLE	B5859-PE-ILI23-1	2015-06-28	1188	786	2011-09-14	SRR343137	SRS260916	1131106934657 Aspergillus fumigatus B5859 B5859-PE-ILI23-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717302	SRX097008	0	Illumina Genome Analyzer II	SINGLE	B5863-PE-ILI24-1	2015-06-28	1255	831	2011-09-14	SRR343138	SRS260917	1131106934655 Aspergillus fumigatus B5863 B5863-PE-ILI24-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717303	SRX097009	0	Illumina Genome Analyzer II	SINGLE	B5866-PE-ILI25-1	2015-06-28	1324	880	2011-09-14	SRR343139	SRS260918	1131106934641 Aspergillus fumigatus B5866 B5866-PE-ILI25-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717304	SRX097010	0	Illumina Genome Analyzer II	SINGLE	B5868-PE-ILI26-1	2015-06-28	1125	752	2011-09-14	SRR343140	SRS260919	1131106934653 Aspergillus fumigatus B5868 B5868-PE-ILI26-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717305	SRX097011	0	Illumina Genome Analyzer II	SINGLE	B6069-PE-ILI27-1	2015-06-28	1407	941	2011-09-14	SRR343141	SRS260920	1131106934643 Aspergillus fumigatus B6069 B6069-PE-ILI27-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717306	SRX097012	0	Illumina Genome Analyzer II	SINGLE	B6074-PE-ILI28-1	2015-06-28	1189	794	2011-09-14	SRR343142	SRS260921	1131106934651 Aspergillus fumigatus B6074 B6074-PE-ILI28-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
100	SAMN00717307	SRX097013	0	Illumina Genome Analyzer II	SINGLE	B6078-PE-ILI29-1	2015-06-28	916	600	2011-09-14	SRR343143	SRS260922	1131106934635 Aspergillus fumigatus B6078 B6078-PE-ILI29-1 Sample	WGS	PRJNA67101	JCVI	public	sra	ncbi	RANDOM	GENOMIC	Aspergillus fumigatus	ILLUMINA	SRP008192
