SampleID	Strain	CONTIG COUNT 	L50 	L90 	MAX 	MEAN 	MEDIAN 	MIN 	N50 	N90 	TOTAL LENGTH 	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
08-12-12-13	08-12-12-13	284	22	67	1019797	98625.79	6459	500	465633	105503	28009725	-	-	-	-	-	-
08-19-02-10	08-19-02-10	274	21	67	1320770	101964.75	5704	504	420069	124469	27938341	-	-	-	-	-	-
08-19-02-30	08-19-02-30	243	18	60	1409676	116725.15	7268	500	507403	126874	28364212	-	-	-	-	-	-
08-19-02-61	08-19-02-61	255	22	71	1355876	111090.56	10091	502	427632	100588	28328094	-	-	-	-	-	-
08-31-08-91	08-31-08-91	279	18	64	1449650	101685.85	4439	503	446515	105524	28370352	-	-	-	-	-	-
08-36-03-25	08-36-03-25	536	24	85	1333900	54072.37	2259	504	383300	85269	28982791	-	-	-	-	-	-
09-7500806	09-7500806	277	20	60	1131411	104491.22	6632	501	493493	125286	28944067	-	-	-	-	-	-
10-01-02-27	10-01-02-27	268	22	66	1024105	106222.90	6289	500	447757	128266	28467737	-	-	-	-	-	-
117535A-1.1	117535A-1.1	199	26	82	943058	141854.02	55951	514	348703	102970	28228949	-	-	-	-	-	-
12-7504462	12-7504462	221	17	57	1849455	130725.80	8972	503	507993	156940	28890402	-	-	-	-	-	-
12-7504652	12-7504652	290	19	62	1135399	96273.60	4444	503	507424	119081	27919344	-	-	-	-	-	-
12-7505054	12-7505054	269	22	69	1049293	104597.28	10005	501	416291	100574	28136669	-	-	-	-	-	-
12-7505446	12-7505446	269	22	76	1233380	105539.70	13039	506	422452	90912	28390179	-	-	-	-	-	-
1F1SW_F4	1F1SW_F4	209	14	50	1942531	133760.00	6029	501	627787	139412	27955841	-	-	-	-	-	-
84-NIH	84-NIH	189	27	84	915698	148313.40	76882	540	351120	106781	28031233	-	-	-	-	-	-
A1159	A1159	324	25	77	1272604	85649.19	3208	502	364706	98236	27750336	-	-	-	-	-	-
A1163	A1163	424	32	105	717521	68124.22	5849	504	272556	73005	28884671	-	-	-	-	-	-
AF210	AF210	1551	156	521	245374	18223.35	3124	500	53740	14289	28264417	-	-	-	-	-	-
AF293	AF293	817	96	313	381330	34866.80	11174	506	95480	24854	28486176	-	-	-	-	-	-
AF293-VKBR1	AF293-VKBR1	755	66	225	537709	37939.58	5515	500	129761	33143	28644383	-	-	-	-	-	-
AF293-VKBR3	AF293-VKBR3	551	59	210	514980	51652.81	17481	505	145114	34014	28460701	-	-	-	-	-	-
AF293-VKWH2	AF293-VKWH2	907	104	379	440416	31234.39	12065	501	79760	18121	28329596	-	-	-	-	-	-
AF300	AF300	605	73	258	396751	46901.74	19292	503	116162	28357	28375550	-	-	-	-	-	-
AF41	AF41	393	34	108	727354	70625.10	6195	500	289960	74121	27755666	-	-	-	-	-	-
AF72	AF72	378	28	95	1006320	73414.54	4649	501	321171	77693	27750697	-	-	-	-	-	-
AF90	AF90	273	27	92	1052378	102691.59	19027	535	339836	82973	28034803	-	-	-	-	-	-
AFIS_13708_CDC-14	AFIS_13708_CDC-14	183	23	76	1042025	155808.62	65379	500	440464	128079	28512978	-	-	-	-	-	-
AFIS_2101_CDC-1	AFIS_2101_CDC-1	219	29	96	1222483	128864.43	65808	509	296928	86190	28221311	-	-	-	-	-	-
AFIS_2302_CDC-18	AFIS_2302_CDC-18	173	26	74	1027728	160193.84	83800	513	369919	124591	27713534	-	-	-	-	-	-
AFIS_23107_CDC-12	AFIS_23107_CDC-12	368	23	70	1334712	79147.61	2014	500	457792	116403	29126321	-	-	-	-	-	-
AFUG_031815-1869	AFUG_031815-1869	366	29	87	1117697	77082.82	3487	500	310809	84054	28212312	-	-	-	-	-	-
AFUG_082015-1200	AFUG_082015-1200	168	18	57	1524666	167123.15	44884	500	547139	133269	28076689	-	-	-	-	-	-
AFUG_100413-0667	AFUG_100413-0667	178	24	74	1137917	158877.06	66092	519	381651	112091	28280117	-	-	-	-	-	-
AP65	AP65	447	46	145	771139	62410.24	13839	510	197717	47043	27897377	-	-	-	-	-	-
ATCC_204305	ATCC_204305	746	89	303	317162	37206.30	13726	504	100487	26636	27755903	-	-	-	-	-	-
ATCC_46645	ATCC_46645	925	96	353	436623	32287.97	10445	500	91318	20828	29866369	-	-	-	-	-	-
A_fumigatus_v67-36	A_fumigatus_v67-36	8	2	6	7843	3435.00	1869	835	7560	1701	27480	-	-	-	-	-	-
A_fumigatus_v67-37	A_fumigatus_v67-37	8	2	6	7843	3746.50	2322	810	7791	1825	29972	-	-	-	-	-	-
